127.0.0.1 - - [19/Apr/2018:14:06:59 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:07:05 +0530] "GET /project1frontend/ HTTP/1.1" 200 7318
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:07:05 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:07:05 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:07:05 +0530] "GET /project1frontend/resources/images/java2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:07:05 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:07:05 +0530] "GET /project1frontend/resources/images/hp%20laptop.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:07:05 +0530] "GET /project1frontend/resources/images/bullate.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:07:06 +0530] "GET /project1frontend/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:07 +0530] "GET /project1frontend/login HTTP/1.1" 200 4567
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:07 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:07 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:07 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:07 +0530] "GET /project1frontend/resources/css/login.css HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:13 +0530] "POST /project1frontend/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:13 +0530] "GET /project1frontend/home HTTP/1.1" 200 7262
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:13 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:13 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:13 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:13 +0530] "GET /project1frontend/resources/images/hp%20laptop.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:13 +0530] "GET /project1frontend/resources/images/java2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:13 +0530] "GET /project1frontend/resources/images/bullate.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:13 +0530] "GET /project1frontend/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:30 +0530] "GET /project1frontend/all/getproducts HTTP/1.1" 200 9391
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:30 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:30 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:30 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:30 +0530] "GET /project1frontend/resources/images/45.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:30 +0530] "GET /project1frontend/resources/images/46.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:30 +0530] "GET /project1frontend/resources/images/47.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:30 +0530] "GET /project1frontend/resources/images/49.png HTTP/1.1" 500 8192
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:30 +0530] "GET /project1frontend/resources/images/50.png HTTP/1.1" 200 621467
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:08:30 +0530] "GET /project1frontend/resources/images/81.png HTTP/1.1" 200 97654
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:07 +0530] "GET /project1frontend/all/getproducts HTTP/1.1" 200 9391
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:08 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:08 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:09 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:09 +0530] "GET /project1frontend/resources/images/45.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:09 +0530] "GET /project1frontend/resources/images/47.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:09 +0530] "GET /project1frontend/resources/images/46.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:09 +0530] "GET /project1frontend/resources/images/50.png HTTP/1.1" 200 621467
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:09 +0530] "GET /project1frontend/resources/images/81.png HTTP/1.1" 200 97654
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:09 +0530] "GET /project1frontend/resources/images/49.png HTTP/1.1" 200 522630
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:29 +0530] "GET /project1frontend/all/getproduct/50 HTTP/1.1" 200 4642
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:29 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:29 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:29 +0530] "GET /project1frontend/resources/images/50.png HTTP/1.1" 200 621467
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:29 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:34 +0530] "GET /project1frontend/all/getproducts HTTP/1.1" 200 9391
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:34 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:34 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:34 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:34 +0530] "GET /project1frontend/resources/images/45.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:34 +0530] "GET /project1frontend/resources/images/46.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:34 +0530] "GET /project1frontend/resources/images/47.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:34 +0530] "GET /project1frontend/resources/images/49.png HTTP/1.1" 500 32768
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:34 +0530] "GET /project1frontend/resources/images/50.png HTTP/1.1" 200 621467
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:34 +0530] "GET /project1frontend/resources/images/81.png HTTP/1.1" 200 97654
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:10:34 +0530] "GET /project1frontend/resources/images/47.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:22 +0530] "GET /project1frontend/all/getproducts HTTP/1.1" 200 9447
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:22 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:22 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/all/getproducts HTTP/1.1" 200 9447
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/45.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/81.png HTTP/1.1" 200 97654
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/49.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/46.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/47.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/45.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/46.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/47.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/49.png HTTP/1.1" 200 522630
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/50.png HTTP/1.1" 200 621467
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:23 +0530] "GET /project1frontend/resources/images/81.png HTTP/1.1" 200 97654
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:24 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:33 +0530] "GET /project1frontend/all/getproducts HTTP/1.1" 200 9447
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:33 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:33 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:33 +0530] "GET /project1frontend/resources/images/45.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:33 +0530] "GET /project1frontend/resources/images/46.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:33 +0530] "GET /project1frontend/resources/images/47.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:33 +0530] "GET /project1frontend/resources/images/81.png HTTP/1.1" 200 97654
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:33 +0530] "GET /project1frontend/resources/images/49.png HTTP/1.1" 200 522630
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:33 +0530] "GET /project1frontend/resources/images/50.png HTTP/1.1" 200 621467
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:33 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:36 +0530] "GET /project1frontend/all/getproduct/45 HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:36 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:37 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:37 +0530] "GET /project1frontend/resources/images/45.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:37 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:40 +0530] "GET /project1frontend/all/getproducts HTTP/1.1" 200 9447
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:40 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:40 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:40 +0530] "GET /project1frontend/resources/images/45.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:40 +0530] "GET /project1frontend/resources/images/46.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:40 +0530] "GET /project1frontend/resources/images/47.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:40 +0530] "GET /project1frontend/resources/images/49.png HTTP/1.1" 200 522630
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:40 +0530] "GET /project1frontend/resources/images/50.png HTTP/1.1" 200 621467
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:40 +0530] "GET /project1frontend/resources/images/81.png HTTP/1.1" 200 97654
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:43 +0530] "GET /project1frontend/login HTTP/1.1" 200 4567
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:43 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:43 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:43 +0530] "GET /project1frontend/resources/css/login.css HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:43 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:47 +0530] "POST /project1frontend/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:48 +0530] "GET /project1frontend/home HTTP/1.1" 200 7262
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:48 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:48 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:48 +0530] "GET /project1frontend/resources/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:48 +0530] "GET /project1frontend/resources/images/hp%20laptop.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:48 +0530] "GET /project1frontend/resources/images/java2.jpg HTTP/1.1" 200 33331
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:48 +0530] "GET /project1frontend/resources/images/bullate.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:11:48 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:12:13 +0530] "GET /project1frontend/home HTTP/1.1" 200 7262
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:12:13 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:12:13 +0530] "GET /project1frontend/resources/css/table.css HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:12:13 +0530] "GET /project1frontend/resources/images/java2.jpg HTTP/1.1" 200 33331
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:12:13 +0530] "GET /project1frontend/resources/images/bullate.jpg HTTP/1.1" 200 97654
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:12:13 +0530] "GET /project1frontend/resources/images/img2.jpg HTTP/1.1" 200 115314
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:12:13 +0530] "GET /project1frontend/resources/images/hp%20laptop.jpg HTTP/1.1" 200 122910
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:12:13 +0530] "GET /project1frontend/resources/images/DreamArea.png HTTP/1.1" 200 5412663
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:12:18 +0530] "GET /project1frontend/all/getproducts HTTP/1.1" 200 9391
0:0:0:0:0:0:0:1 - - [19/Apr/2018:14:12:18 +0530] "GET /project1frontend/resources/css/navbar.css HTTP/1.1" 200 146
